BuildingType,ENERGYSTARScore,GHGEmissions(MetricTonsCO2e),LargestPropertyUseType,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFAParking(m2),PropertyGFATotal(m2),SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA(m2),SiteEnergyUseWN(GJ),YearBuilt,ZipCode
NonResidential,80.5,5.702164499773823,Hotel,1.0,5.0,232.0,Hotel,7.932753750305001,9.351192564751459,Parking,7.932753750305001,9.214693089269756,1998.0,98109.0
Nonresidential COS,,5.410104685989342,Museum,1.0,1.0,233.0,Other,,8.44357937407099,,,9.054196960632419,1900.0,98109.0
Nonresidential COS,,1.385043579218238,Non-Refrigerated Warehouse,1.0,2.0,234.0,Warehouse,,8.44940238737378,Residence Hall/Dormitory,6.140994281076946,6.40441327089223,1926.0,98109.0
NonResidential,76.5,5.787541345756266,Hotel,1.0,7.0,235.0,Hotel,8.526835375121703,9.867439233077024,,,9.413602541422321,1998.0,98109.0
SPS-District K-12,87.0,3.8413859258287055,K-12 School,1.0,2.0,237.0,K-12 School,,8.739750313918679,,,7.886223535478782,1999.0,98117.0
Nonresidential COS,,5.143124477142335,Office,1.0,2.0,238.0,Small- and Mid-Sized Office,,9.04384342715088,Distribution Center,8.024451351993644,9.265548162332594,1957.0,98103.0
SPS-District K-12,97.0,2.9742532418768666,K-12 School,1.0,3.0,239.0,K-12 School,,8.594031795190551,,,7.354600274098798,1991.0,98136.0
NonResidential,71.5,5.334070536253854,Hotel,1.0,4.0,241.0,Hotel,,8.70429612829232,,,8.776743093064258,1968.0,98133.0
SPS-District K-12,,1.4539530095937054,K-12 School,1.0,2.0,242.0,K-12 School,,8.497916032723966,,,6.633537501072749,1989.0,98115.0
SPS-District K-12,91.0,5.036432986917396,K-12 School,1.0,1.0,243.0,K-12 School,,8.79087850209124,,,8.224212704242278,1925.0,98108.0
NonResidential,80.5,3.3109079103146946,Office,1.0,3.0,244.0,Small- and Mid-Sized Office,,8.328348079951176,Self-Storage Facility,6.569133706223982,7.468561406148348,1900.0,98104.0
Nonresidential COS,,4.581799199664851,Distribution Center,1.0,2.0,247.0,Distribution Center,,9.719841211569404,Office,8.15111253954703,9.329098914866185,1924.0,98134.0
Nonresidential COS,,3.3338103629603,Non-Refrigerated Warehouse,1.0,2.0,248.0,Warehouse,,8.602973426221242,Other - Services,7.349058703306135,8.485528267160513,1965.0,98134.0
NonResidential,62.5,5.979391965873713,Hotel,1.0,9.0,250.0,Hotel,7.210315065109656,9.658189401998118,Parking,7.556847444438381,9.539904800063733,2005.0,98134.0
NonResidential,44.5,2.683415920143849,Non-Refrigerated Warehouse,0.0,4.0,257.0,Warehouse,,8.908570461493182,,,7.702906437409432,1916.0,98134.0
SPS-District K-12,76.5,5.588184549905154,K-12 School,1.0,4.0,260.0,K-12 School,,10.016627123562152,,,9.2141553102557,1997.0,98103.0
Campus,,6.58948340632635,Office,14.0,2.0,261.0,Large Office,7.993346999080288,10.343798551494546,Laboratory,8.821508831984636,10.945052841297526,1980.0,98108.0
NonResidential,,5.094976442530006,Parking,1.0,6.0,263.0,Other,10.346012220679881,10.571449109655022,Movie Theater,8.705943638538482,9.1976601631048,2008.0,98125.0
SPS-District K-12,88.0,3.5042051317363847,K-12 School,1.0,1.0,273.0,K-12 School,,8.80424235520758,,,7.852928479110316,1999.0,98106.0
NonResidential,91.0,2.2132072818428288,Non-Refrigerated Warehouse,1.0,3.0,274.0,Warehouse,6.630923079129952,8.854323855066792,Parking,6.630923079129952,6.384225885122676,1991.0,98103.0
NonResidential,,5.276174001862347,Senior Care Community,1.0,5.0,278.0,Senior Care Community,7.066125817616583,9.16430281040104,Medical Office,8.222708238862445,9.321443088069701,1999.0,98104.0
SPS-District K-12,82.0,5.256687754325715,K-12 School,1.0,2.0,279.0,K-12 School,,9.873799707384265,,,9.14237087298207,2002.0,98116.0
NonResidential,91.0,4.493120682179469,K-12 School,1.0,2.0,281.0,K-12 School,,8.550692353267191,,,7.7241498109428415,1928.0,98105.0
NonResidential,47.5,6.149269257113851,Hotel,1.0,16.0,282.0,Hotel,,9.203075935172471,,,9.514788357715242,1931.0,98105.0
NonResidential,62.5,3.8380534852279715,Office,1.0,5.0,283.0,Small- and Mid-Sized Office,,8.458645310743359,Restaurant,5.834469120823685,8.11931419000728,1972.0,98125.0
NonResidential,47.5,4.414977734813568,Worship Facility,1.0,2.0,284.0,Worship Facility,,8.570599615079857,,,7.990721319867941,1952.0,98105.0
NonResidential,41.0,4.991995989877317,Worship Facility,1.0,3.0,285.0,Worship Facility,,9.166285356872482,,,8.678165574498774,1952.0,98105.0
SPS-District K-12,79.5,5.340610278738288,K-12 School,1.0,3.0,286.0,K-12 School,,10.127371228405774,,,9.387872265153463,2006.0,98115.0
SPS-District K-12,78.5,4.249637446628136,K-12 School,1.0,3.0,287.0,K-12 School,,8.851361795134316,,,8.092054742356808,2001.0,98115.0
SPS-District K-12,87.5,3.7200146830446474,K-12 School,1.0,3.0,289.0,K-12 School,,8.851893752483882,,,7.827017762629663,2003.0,98119.0
SPS-District K-12,91.5,4.210274029229161,K-12 School,1.0,3.0,290.0,K-12 School,,9.436223555127254,,,8.420170156955116,2005.0,98116.0
SPS-District K-12,65.0,2.798195550953556,K-12 School,1.0,2.0,291.0,K-12 School,,8.696887369431435,,,7.925192947582041,1991.0,98144.0
SPS-District K-12,74.5,5.345129385000503,K-12 School,1.0,3.0,292.0,K-12 School,,9.05808370003906,,,8.746921846987057,1927.0,98115.0
NonResidential,,4.038919938616497,Other - Entertainment/Public Assembly,1.0,7.0,293.0,Other,,9.389553172310245,Other,7.086921482079407,8.802539489696223,1914.0,98101.0
NonResidential,,6.083884189695508,Other,1.0,15.0,295.0,Other,,9.973454463668405,,,11.088583877357571,1955.0,98101.0
SPS-District K-12,94.0,5.366279707220464,K-12 School,1.0,3.0,300.0,K-12 School,,9.854376085780148,,,9.168248797697162,2007.0,98108.0
