OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal(m2),PropertyGFAParking(m2),LargestPropertyUseType,SecondLargestPropertyUseType,ENERGYSTARScore,SourceEUIWN(GJ/m2),SiteEnergyUseWN(GJ),SteamUse(GJ),Electricity(kWh),NaturalGas(GJ),TotalGHGEmissions(MetricTonsCO2e)
27456,NonResidential,Other,ATWATER,98119.0,4232903455,7,MAGNOLIA / QUEEN ANNE,1956,1.0,2,3416.13768384,0.0,Other,,,5504.530120865797,5676379.740174999,0.0,1604073.3125,0.0,38.155
27482,NonResidential,Warehouse,8000 5th Ave S,98108.0,7327901685,1,GREATER DUWAMISH,1977,1.0,1,2231.90263296,0.0,Non-Refrigerated Warehouse,Other - Services,,592.2452032476106,420922.73169543897,0.0,107515.9492,0.0,2.56
27488,NonResidential,Warehouse,West Coast Wire Rope & Rigging Inc,98108.0,7327903120,1,GREATER DUWAMISH,1953,1.0,1,3940.9469568000004,0.0,Non-Refrigerated Warehouse,Other,37.0,540.004962152769,1020729.0729537499,0.0,140488.64844999998,428607.5743999999,24.915
27494,NonResidential,Distribution Center,Pacific Western Agencies,98108.0,7327904585,1,GREATER DUWAMISH,1979,1.0,1,3435.7402252800002,0.0,Distribution Center,Office,,304.9239443717105,419847.361790439,0.0,78670.60156499999,93283.1299,6.57
27504,NonResidential,Warehouse,WHECO,98108.0,7327906465,1,GREATER DUWAMISH,1964,1.0,2,2173.931136,0.0,Non-Refrigerated Warehouse,Office,,707.514384813232,489367.68850499997,0.0,130307.89845000001,0.0,3.1
27532,NonResidential,Other,Color Craft Building,98109.0,5457300570,7,MAGNOLIA / QUEEN ANNE,1948,1.0,2,2853.9813888000003,0.0,Other,Parking,,1274.7751226300559,2257589.2970275,0.0,139960.5,1364194.1625899998,72.0
27553,NonResidential,Warehouse,DAE II,98108.0,7376600035,2,GREATER DUWAMISH,1972,1.0,1,2158.3234252800003,0.0,Non-Refrigerated Warehouse,,,231.6740593302738,159495.00279,0.0,44305.599610000005,0.0,1.055
27554,NonResidential,Warehouse,L&W Food Corporation,98108.0,7376600060,2,GREATER DUWAMISH,1974,1.0,1,3255.87993984,0.0,Non-Refrigerated Warehouse,,100.0,990.2930021561565,1142279.5681975,0.0,243085.85155000002,229266.12059,17.325
27561,NonResidential,Refrigerated Warehouse,OVERSEA CASING CO.,98108.0,7376600250,2,GREATER DUWAMISH,1961,1.0,1,2376.18105408,0.0,Refrigerated Warehouse,Non-Refrigerated Warehouse,,1107.2657041147415,964713.0361387499,0.0,222622.89844999998,188093.98668,14.765
27562,NonResidential,Warehouse,MVI 7th Avenue,98108.0,7376600270,2,GREATER DUWAMISH,1974,1.0,1,4030.1338752,0.0,Non-Refrigerated Warehouse,,87.0,357.1641638322836,452700.82564812497,0.0,122444.4492,0.0,2.91
27567,NonResidential,Small- and Mid-Sized Office,4010 Associates,98020.0,4452300055,4,LAKE UNION,1995,1.0,3,1896.1510464,0.0,Office,,13.5,3045.8323945273155,2612549.06754,0.0,400192.04689999996,1056944.3371599999,62.725
27587,NonResidential,Small- and Mid-Sized Office,Meridian Center Building,98133.0,5464300065,5,NORTHWEST,1983,1.0,3,2294.33347584,585.2891520000001,Office,Parking,87.0,1203.7965603708983,655451.6069362499,0.0,182076.85155000002,0.0,4.33
